Date,Country,Camp,School,Subject
28/05/2019,DR Congo,Goma,Centre Don Bosco,Sciences
28/05/2019,DR Congo,Goma,Centre Don Bosco,Sciences
28/05/2019,DR Congo,Goma,Centre Don Bosco,Sciences
28/05/2019,DR Congo,Goma,Centre Don Bosco,Sciences
28/05/2019,DR Congo,Goma,Centre Don Bosco,Sciences
27/05/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
29/05/2019,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
30/05/2019,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
30/05/2019,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
30/05/2019,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
30/05/2019,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
30/05/2019,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
30/05/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
11/09/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
11/09/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
16/09/2019,DR Congo,Goma,Centre Don Bosco,ICT / Computer Science
16/09/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
17/09/2019,DR Congo,Goma,Centre Don Bosco,Sciences
17/09/2019,DR Congo,Goma,Centre Don Bosco,Sciences
19/09/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
20/09/2019,DR Congo,Goma,Centre Don Bosco,Mathematics
20/09/2019,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
23/09/2019,DR Congo,Goma,Centre Don Bosco,ICT / Computer Science
23/09/2019,DR Congo,Goma,Centre Don Bosco,ICT / Computer Science
23/09/2019,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
25/09/2019,DR Congo,Goma,Centre Don Bosco,ICT / Computer Science
26/09/2019,DR Congo,Goma,Centre Don Bosco,ICT / Computer Science
27/09/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
01/10/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
01/10/2019,DR Congo,Goma,Centre Don Bosco,ICT / Computer Science
02/10/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
02/10/2019,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
02/10/2019,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
02/10/2019,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
07/10/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
07/10/2019,DR Congo,Goma,Centre Don Bosco,ICT / Computer Science
07/10/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
09/10/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
09/10/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
09/10/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
10/10/2019,DR Congo,Goma,Centre Don Bosco,ICT / Computer Science
14/10/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
11/10/2019,DR Congo,Goma,Centre Don Bosco,Languages
14/10/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
14/10/2019,DR Congo,Goma,Centre Don Bosco,ICT / Computer Science
15/10/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
15/10/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
17/10/2019,DR Congo,Goma,Centre Don Bosco,ICT / Computer Science
16/10/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
16/10/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
04/10/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
03/10/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
02/10/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
30/09/2019,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
03/10/2019,DR Congo,Goma,Centre Don Bosco,Languages
17/09/2019,DR Congo,Goma,Centre Don Bosco,Sciences
02/10/2019,DR Congo,Goma,Centre Don Bosco,ICT / Computer Science
01/10/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
17/09/2019,DR Congo,Goma,Centre Don Bosco,ICT / Computer Science
17/10/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
25/09/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
20/09/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
20/09/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
18/09/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
17/09/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
15/10/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
21/10/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
17/10/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
21/10/2019,DR Congo,Goma,Centre Don Bosco,ICT / Computer Science
22/10/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
23/10/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
23/10/2019,DR Congo,Goma,Centre Don Bosco,ICT / Computer Science
23/10/2019,DR Congo,Goma,Centre Don Bosco,Sciences
04/11/2019,DR Congo,Goma,Centre Don Bosco,ICT / Computer Science
04/11/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
04/11/2019,DR Congo,Goma,Centre Don Bosco,ICT / Computer Science
05/11/2019,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
05/11/2019,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
05/11/2019,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
06/11/2019,DR Congo,Goma,Centre Don Bosco,Sciences
06/11/2019,DR Congo,Goma,Centre Don Bosco,Sciences
06/11/2019,DR Congo,Goma,Centre Don Bosco,Sciences
11/11/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
11/11/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
12/11/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
12/11/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
15/11/2019,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
15/11/2019,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
15/11/2019,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
19/11/2019,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
19/11/2019,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
19/11/2019,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
20/11/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
20/11/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
20/11/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
22/11/2019,DR Congo,Goma,Centre Don Bosco,Mathematics
22/11/2019,DR Congo,Goma,Centre Don Bosco,Mathematics
22/11/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
25/11/2019,DR Congo,Goma,Centre Don Bosco,ICT / Computer Science
27/11/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
28/11/2019,DR Congo,Goma,Centre Don Bosco,ICT / Computer Science
28/11/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
05/12/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
10/12/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
10/12/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
10/12/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
11/12/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
12/12/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
06/01/2020,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
06/01/2020,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
06/01/2020,DR Congo,Goma,Centre Don Bosco,ICT / Computer Science
07/01/2020,DR Congo,Goma,Centre Don Bosco,ICT / Computer Science
08/01/2020,DR Congo,Goma,Centre Don Bosco,ICT / Computer Science
08/01/2020,DR Congo,Goma,Centre Don Bosco,ICT / Computer Science
09/01/2020,DR Congo,Goma,Centre Don Bosco,ICT / Computer Science
22/01/2020,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
23/01/2020,DR Congo,Goma,Centre Don Bosco,ICT / Computer Science
29/01/2020,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
18/02/2020,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
18/02/2020,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
19/02/2020,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
19/02/2020,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
27/02/2020,DR Congo,Goma,Centre Don Bosco,ICT / Computer Science
27/02/2020,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
28/02/2020,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
28/02/2020,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
28/02/2020,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
02/03/2020,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
03/03/2020,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
04/03/2020,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
09/03/2020,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
09/03/2020,DR Congo,Goma,Centre Don Bosco,Sciences
09/03/2020,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
11/03/2020,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
11/03/2020,DR Congo,Goma,Centre Don Bosco,Sciences
12/03/2020,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
13/03/2020,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
16/03/2020,DR Congo,Goma,Centre Don Bosco,ICT / Computer Science
16/03/2020,DR Congo,Goma,Centre Don Bosco,Other
17/03/2020,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
18/03/2020,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
18/03/2020,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
16/03/2020,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
13/03/2020,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
05/03/2020,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
04/03/2020,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
04/03/2020,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
03/03/2020,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
26/02/2020,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
26/02/2020,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
24/02/2020,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
24/02/2020,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
23/10/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
04/11/2019,DR Congo,Goma,Centre Don Bosco,ICT / Computer Science
04/11/2019,DR Congo,Goma,Centre Don Bosco,ICT / Computer Science
05/11/2019,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
06/11/2019,DR Congo,Goma,Centre Don Bosco,Sciences
15/11/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
15/11/2019,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
19/11/2019,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
20/11/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
22/11/2019,DR Congo,Goma,Centre Don Bosco,Mathematics
26/11/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
05/12/2019,DR Congo,Goma,Centre Don Bosco,ICT / Computer Science
10/12/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
12/12/2019,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
12/12/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
13/12/2019,DR Congo,Goma,Centre Don Bosco,Vocational / Technical / Options
16/12/2019,DR Congo,Goma,Centre Don Bosco,Humanities / General Culture
17/12/2019,DR Congo,Goma,Centre Don Bosco,Sciences
16/03/2017,Kenya,Kakuma,Morneau Shepell,Sciences
17/01/2017,Kenya,Kakuma,Morneau Shepell,Vocational / Technical / Options
17/01/2017,Kenya,Kakuma,Morneau Shepell,Other
19/01/2017,Kenya,Kakuma,Morneau Shepell,Sciences
22/01/2017,Kenya,Kakuma,Morneau Shepell,Languages
23/01/2017,Kenya,Kakuma,Morneau Shepell,Life Skills and Psychosocial Support
24/01/2017,Kenya,Kakuma,Morneau Shepell,Sciences
25/01/2017,Kenya,Kakuma,Morneau Shepell,Sciences
25/01/2017,Kenya,Kakuma,Morneau Shepell,Languages
26/01/2017,Kenya,Kakuma,Morneau Shepell,Life Skills and Psychosocial Support
30/01/2017,Kenya,Kakuma,Morneau Shepell,Sciences
31/01/2017,Kenya,Kakuma,Morneau Shepell,Life Skills and Psychosocial Support
31/01/2017,Kenya,Kakuma,Morneau Shepell,Humanities / General Culture
31/01/2017,Kenya,Kakuma,Morneau Shepell,Sciences
01/02/2017,Kenya,Kakuma,Morneau Shepell,Languages
01/02/2017,Kenya,Kakuma,Morneau Shepell,Languages
02/02/2017,Kenya,Kakuma,Morneau Shepell,Vocational / Technical / Options
02/02/2017,Kenya,Kakuma,Morneau Shepell,Languages
01/02/2017,Kenya,Kakuma,Morneau Shepell,Languages
05/02/2017,Kenya,Kakuma,Morneau Shepell,Sciences
05/02/2017,Kenya,Kakuma,Morneau Shepell,Humanities / General Culture
06/02/2017,Kenya,Kakuma,Morneau Shepell,Languages
06/02/2017,Kenya,Kakuma,Morneau Shepell,Vocational / Technical / Options
09/02/2017,Kenya,Kakuma,Morneau Shepell,Other
13/02/2017,Kenya,Kakuma,Morneau Shepell,Humanities / General Culture
14/02/2017,Kenya,Kakuma,Morneau Shepell,Languages
15/02/2017,Kenya,Kakuma,Morneau Shepell,Languages
22/02/2017,Kenya,Kakuma,Morneau Shepell,Sciences
06/03/2017,Kenya,Kakuma,Morneau Shepell,Life Skills and Psychosocial Support
09/03/2017,Kenya,Kakuma,Morneau Shepell,Languages
09/03/2017,Kenya,Kakuma,Morneau Shepell,Languages
27/03/2017,Kenya,Kakuma,Morneau Shepell,Other
19/05/2017,Kenya,Kakuma,Morneau Shepell,Sciences
21/05/2017,Kenya,Kakuma,Morneau Shepell,Sciences
22/05/2017,Kenya,Kakuma,Morneau Shepell,Sciences
25/05/2017,Kenya,Kakuma,Morneau Shepell,Sciences
28/05/2017,Kenya,Kakuma,Morneau Shepell,Sciences
30/05/2017,Kenya,Kakuma,Morneau Shepell,Vocational / Technical / Options
30/05/2017,Kenya,Kakuma,Morneau Shepell,Vocational / Technical / Options
30/05/2017,Kenya,Kakuma,Morneau Shepell,Sciences
01/06/2017,Kenya,Kakuma,Morneau Shepell,Vocational / Technical / Options
07/06/2017,Kenya,Kakuma,Morneau Shepell,Sciences
08/06/2017,Kenya,Kakuma,Morneau Shepell,Humanities / General Culture
18/05/2017,Kenya,Kakuma,Morneau Shepell,Sciences
02/07/2017,Kenya,Kakuma,Morneau Shepell,Languages
04/07/2017,Kenya,Kakuma,Morneau Shepell,Sciences
04/07/2017,Kenya,Kakuma,Morneau Shepell,Sciences
03/07/2017,Kenya,Kakuma,Morneau Shepell,Sciences
03/07/2017,Kenya,Kakuma,Morneau Shepell,Sciences
09/07/2017,Kenya,Kakuma,Morneau Shepell,Sciences
10/07/2017,Kenya,Kakuma,Morneau Shepell,Sciences
12/07/2017,Kenya,Kakuma,Morneau Shepell,Sciences
19/07/2017,Kenya,Kakuma,Morneau Shepell,Languages
19/07/2017,Kenya,Kakuma,Morneau Shepell,Sciences
11/09/2017,Kenya,Kakuma,Morneau Shepell,Sciences
11/09/2017,Kenya,Kakuma,Morneau Shepell,Humanities / General Culture
12/09/2017,Kenya,Kakuma,Morneau Shepell,Vocational / Technical / Options
13/09/2017,Kenya,Kakuma,Morneau Shepell,Sciences
13/09/2017,Kenya,Kakuma,Morneau Shepell,Mathematics
14/09/2017,Kenya,Kakuma,Morneau Shepell,Languages
14/09/2017,Kenya,Kakuma,Morneau Shepell,Sciences
18/09/2017,Kenya,Kakuma,Morneau Shepell,Humanities / General Culture
18/09/2017,Kenya,Kakuma,Morneau Shepell,Sciences
19/09/2017,Kenya,Kakuma,Morneau Shepell,Vocational / Technical / Options
19/09/2017,Kenya,Kakuma,Morneau Shepell,Sciences
20/09/2017,Kenya,Kakuma,Morneau Shepell,Vocational / Technical / Options
24/09/2017,Kenya,Kakuma,Morneau Shepell,Vocational / Technical / Options
24/09/2017,Kenya,Kakuma,Morneau Shepell,Vocational / Technical / Options
24/09/2017,Kenya,Kakuma,Morneau Shepell,Humanities / General Culture
17/09/2017,Kenya,Kakuma,Morneau Shepell,Sciences
25/09/2017,Kenya,Kakuma,Morneau Shepell,Languages
26/09/2017,Kenya,Kakuma,Morneau Shepell,Humanities / General Culture
26/09/2017,Kenya,Kakuma,Morneau Shepell,Sciences
25/09/2017,Kenya,Kakuma,Morneau Shepell,Languages
25/09/2017,Kenya,Kakuma,Morneau Shepell,Humanities / General Culture
25/09/2017,Kenya,Kakuma,Morneau Shepell,Languages
19/09/2017,Kenya,Kakuma,Morneau Shepell,Humanities / General Culture
19/09/2017,Kenya,Kakuma,Morneau Shepell,Vocational / Technical / Options
19/09/2017,Kenya,Kakuma,Morneau Shepell,Humanities / General Culture
18/09/2017,Kenya,Kakuma,Morneau Shepell,Vocational / Technical / Options
26/09/2017,Kenya,Kakuma,Morneau Shepell,Languages
27/09/2017,Kenya,Kakuma,Morneau Shepell,Mathematics
27/09/2017,Kenya,Kakuma,Morneau Shepell,Humanities / General Culture
27/09/2017,Kenya,Kakuma,Morneau Shepell,Languages
28/09/2017,Kenya,Kakuma,Morneau Shepell,Vocational / Technical / Options
01/10/2017,Kenya,Kakuma,Morneau Shepell,Humanities / General Culture
01/10/2017,Kenya,Kakuma,Morneau Shepell,Vocational / Technical / Options
03/10/2017,Kenya,Kakuma,Morneau Shepell,Vocational / Technical / Options
09/10/2017,Kenya,Kakuma,Morneau Shepell,Languages
05/02/2018,Kenya,Kakuma,Morneau Shepell,Languages
06/02/2018,Kenya,Kakuma,Morneau Shepell,Humanities / General Culture
07/02/2018,Kenya,Kakuma,Morneau Shepell,Languages
11/02/2018,Kenya,Kakuma,Morneau Shepell,Languages
12/02/2018,Kenya,Kakuma,Morneau Shepell,Sciences
12/03/2018,Kenya,Kakuma,Morneau Shepell,Sciences
14/03/2018,Kenya,Kakuma,Morneau Shepell,Other
22/03/2018,Kenya,Kakuma,Morneau Shepell,ICT / Computer Science
03/07/2018,Kenya,Kakuma,Morneau Shepell,Languages
03/07/2018,Kenya,Kakuma,Morneau Shepell,Languages
03/07/2018,Kenya,Kakuma,Morneau Shepell,Languages
08/07/2018,Kenya,Kakuma,Morneau Shepell,Languages
09/07/2018,Kenya,Kakuma,Morneau Shepell,Languages
10/07/2018,Kenya,Kakuma,Morneau Shepell,Languages
11/07/2018,Kenya,Kakuma,Morneau Shepell,Languages
11/07/2018,Kenya,Kakuma,Morneau Shepell,Languages
11/07/2018,Kenya,Kakuma,Morneau Shepell,Sciences
31/01/2019,Kenya,Kakuma,Morneau Shepell,Languages
04/02/2019,Kenya,Kakuma,Morneau Shepell,Sciences
03/02/2019,Kenya,Kakuma,Morneau Shepell,Languages
06/02/2019,Kenya,Kakuma,Morneau Shepell,Sciences
10/02/2019,Kenya,Kakuma,Morneau Shepell,Sciences
12/02/2019,Kenya,Kakuma,Morneau Shepell,Languages
11/02/2019,Kenya,Kakuma,Morneau Shepell,Languages
11/03/2019,Kenya,Kakuma,Morneau Shepell,Humanities / General Culture
08/07/2018,Kenya,Kakuma,Morneau Shepell,Languages
26/02/2019,Kenya,Kakuma,Morneau Shepell,Languages
03/03/2019,Kenya,Kakuma,Morneau Shepell,Languages
07/03/2019,Kenya,Kakuma,Morneau Shepell,Sciences
15/07/2016,Kenya,Kakuma,Greenlight,Other
29/07/2016,Kenya,Kakuma,Greenlight,Sciences
31/12/2016,Kenya,Kakuma,Greenlight,Languages
31/01/2017,Kenya,Kakuma,Greenlight,Sciences
31/01/2017,Kenya,Kakuma,Greenlight,Sciences
02/02/2017,Kenya,Kakuma,Greenlight,Sciences
02/02/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
02/02/2017,Kenya,Kakuma,Greenlight,Sciences
06/02/2017,Kenya,Kakuma,Greenlight,Languages
06/02/2017,Kenya,Kakuma,Greenlight,Sciences
07/02/2017,Kenya,Kakuma,Greenlight,Languages
07/02/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
07/02/2017,Kenya,Kakuma,Greenlight,Languages
06/02/2017,Kenya,Kakuma,Greenlight,Sciences
08/02/2017,Kenya,Kakuma,Greenlight,Vocational / Technical / Options
07/02/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
04/02/2017,Kenya,Kakuma,Greenlight,Other
08/02/2017,Kenya,Kakuma,Greenlight,Sciences
09/02/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
09/02/2017,Kenya,Kakuma,Greenlight,Sciences
08/02/2017,Kenya,Kakuma,Greenlight,Languages
10/02/2017,Kenya,Kakuma,Greenlight,Sciences
11/02/2017,Kenya,Kakuma,Greenlight,Vocational / Technical / Options
11/02/2017,Kenya,Kakuma,Greenlight,Sciences
14/02/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
15/02/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
15/02/2017,Kenya,Kakuma,Greenlight,Languages
15/02/2017,Kenya,Kakuma,Greenlight,Vocational / Technical / Options
16/02/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
16/02/2017,Kenya,Kakuma,Greenlight,Languages
17/02/2017,Kenya,Kakuma,Greenlight,Sciences
17/02/2017,Kenya,Kakuma,Greenlight,Sciences
18/02/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
16/03/2017,Kenya,Kakuma,Greenlight,Sciences
18/02/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
17/05/2017,Kenya,Kakuma,Greenlight,Mathematics
17/05/2017,Kenya,Kakuma,Greenlight,ICT / Computer Science
19/05/2017,Kenya,Kakuma,Greenlight,Languages
19/05/2017,Kenya,Kakuma,Greenlight,Mathematics
16/03/2017,Kenya,Kakuma,Greenlight,Mathematics
07/06/2017,Kenya,Kakuma,Greenlight,Sciences
07/06/2017,Kenya,Kakuma,Greenlight,Sciences
05/06/2017,Kenya,Kakuma,Greenlight,Languages
05/09/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
06/09/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
06/09/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
07/09/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
07/09/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
08/09/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
08/09/2017,Kenya,Kakuma,Greenlight,Mathematics
11/09/2017,Kenya,Kakuma,Greenlight,Languages
11/09/2017,Kenya,Kakuma,Greenlight,Languages
11/09/2017,Kenya,Kakuma,Greenlight,Languages
12/09/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
12/09/2017,Kenya,Kakuma,Greenlight,Languages
12/09/2017,Kenya,Kakuma,Greenlight,Languages
12/09/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
11/09/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
14/09/2017,Kenya,Kakuma,Greenlight,Languages
14/09/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
14/09/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
18/09/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
18/09/2017,Kenya,Kakuma,Greenlight,Languages
18/09/2017,Kenya,Kakuma,Greenlight,Languages
19/09/2017,Kenya,Kakuma,Greenlight,Mathematics
19/09/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
19/09/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
21/09/2017,Kenya,Kakuma,Greenlight,Languages
21/09/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
22/09/2017,Kenya,Kakuma,Greenlight,Languages
22/09/2017,Kenya,Kakuma,Greenlight,Mathematics
25/09/2017,Kenya,Kakuma,Greenlight,Languages
25/09/2017,Kenya,Kakuma,Greenlight,Languages
25/09/2017,Kenya,Kakuma,Greenlight,Languages
25/09/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
25/09/2017,Kenya,Kakuma,Greenlight,Languages
25/09/2017,Kenya,Kakuma,Greenlight,Mathematics
25/09/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
26/09/2017,Kenya,Kakuma,Greenlight,Languages
26/09/2017,Kenya,Kakuma,Greenlight,Languages
26/09/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
26/09/2017,Kenya,Kakuma,Greenlight,Languages
22/09/2017,Kenya,Kakuma,Greenlight,Languages
22/09/2017,Kenya,Kakuma,Greenlight,Languages
20/09/2017,Kenya,Kakuma,Greenlight,Languages
19/09/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
18/09/2017,Kenya,Kakuma,Greenlight,Languages
19/09/2017,Kenya,Kakuma,Greenlight,Languages
18/09/2017,Kenya,Kakuma,Greenlight,Languages
27/09/2017,Kenya,Kakuma,Greenlight,Languages
27/09/2017,Kenya,Kakuma,Greenlight,Languages
27/09/2017,Kenya,Kakuma,Greenlight,Languages
02/10/2017,Kenya,Kakuma,Greenlight,Languages
02/10/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
02/10/2017,Kenya,Kakuma,Greenlight,Mathematics
03/10/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
03/10/2017,Kenya,Kakuma,Greenlight,Mathematics
03/10/2017,Kenya,Kakuma,Greenlight,Languages
04/10/2017,Kenya,Kakuma,Greenlight,Sciences
04/10/2017,Kenya,Kakuma,Greenlight,Languages
04/10/2017,Kenya,Kakuma,Greenlight,Languages
09/10/2017,Kenya,Kakuma,Greenlight,Languages
09/10/2017,Kenya,Kakuma,Greenlight,Languages
02/10/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
02/10/2017,Kenya,Kakuma,Greenlight,Languages
03/10/2017,Kenya,Kakuma,Greenlight,Mathematics
17/10/2017,Kenya,Kakuma,Greenlight,Languages
25/05/2017,Kenya,Kakuma,Greenlight,Humanities / General Culture
18/10/2017,Kenya,Kakuma,Greenlight,Languages
10/01/2018,Kenya,Kakuma,Greenlight,Languages
11/01/2018,Kenya,Kakuma,Greenlight,Languages
13/01/2018,Kenya,Kakuma,Greenlight,Languages
15/01/2018,Kenya,Kakuma,Greenlight,Humanities / General Culture
16/01/2018,Kenya,Kakuma,Greenlight,Humanities / General Culture
16/01/2018,Kenya,Kakuma,Greenlight,Languages
16/01/2018,Kenya,Kakuma,Greenlight,Humanities / General Culture
16/01/2018,Kenya,Kakuma,Greenlight,Humanities / General Culture
17/01/2018,Kenya,Kakuma,Greenlight,Sciences
17/01/2018,Kenya,Kakuma,Greenlight,Languages
17/01/2018,Kenya,Kakuma,Greenlight,Languages
18/01/2018,Kenya,Kakuma,Greenlight,Mathematics
